Country,Totallife2000,Malelife2000,Femalelife2000,Totallife2010,Malelife2010,Femalelife2010,Totallife2016,Malelife2016,Femalelife2016,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total
United Arab Emirates,74.3,73.5,75.7,76.3,75.6,77.7,77.2,76.5,78.7,0,0,99,0,0,96,0,0,99,0,0,96,0,0,99,0,0,97
United Kingdom of Great Britain and Northern Ireland,77.9,75.5,80.2,80.6,78.6,82.5,81.4,79.7,83.2,99,99,99,100,100,100,99,99,99,100,100,100,99,99,99,100,100,100
United Republic of Tanzania,50.7,49,52.4,59.4,58.1,60.6,63.9,62,65.8,3,11,4,16,65,27,15,30,19,31,76,44,22,41,28,41,84,55
United States of America,76.9,74.2,79.5,78.7,76.3,81.1,78.5,76,81,100,100,100,0,100,0,100,100,100,97,100,99,100,100,100,97,100,99
Uruguay,74.8,70.8,78.8,76,72.1,79.9,77.1,73.2,80.8,85,95,94,75,99,97,90,95,95,84,99,98,96,96,96,94,100,99
Uzbekistan,67.3,64.4,70.2,70.9,68.3,73.6,72.3,69.7,75,88,98,93,76,95,85,98,99,99,93,99,96,100,100,100,96,99,98
Vanuatu,68.9,67.5,70.6,71.2,69.6,73.1,72,70.1,74.1,60,67,62,78,96,82,45,59,49,83,98,86,32,50,36,88,99,91
Venezuela (Bolivarian Republic of),72.2,68.2,76.5,73.6,69.3,78.3,74.1,69.5,79,0,0,0,0,0,97,0,0,94,0,0,96,0,0,94,0,0,96
Viet Nam,73.3,68.5,78.2,75.4,70.6,80.2,76.3,71.7,80.9,43,81,52,76,94,80,63,88,71,85,96,89,76,94,82,92,98,94
Yemen,60.7,59.5,62,64.5,63.2,65.9,65.3,63.9,66.8,27,86,42,26,72,38,37,87,53,44,76,54,43,88,59,55,79,63
Zambia,44.4,43.2,45.6,57.5,55.7,59.3,62.3,60.2,64.4,12,46,24,31,84,49,16,40,25,38,84,56,19,36,26,41,84,59
Zimbabwe,45.9,44.6,47.3,52.9,51.5,54.2,61.4,59.6,63.1,36,65,46,60,95,72,34,56,41,54,94,68,32,48,37,50,94,65
